Date,Apt,Floor_plan,Beds/Baths,Rent,Deposit,Sq.Ft,Limited_Time_Offer,Available
20230326,modera,S01,Studio / 1 ba,"Starting from $1,879/month",$300,477+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,S01L,Studio / 1 ba,"Starting from $2,542/month",$300,641+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,S02,Studio / 1 ba,"Starting from $1,884/month",$300,498+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,A03,1 bd/1 ba,"Starting from $1,971/month",$300,553+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,A05,1 bd/1 ba,"Starting from $1,925/month",$300,596,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,A06,1 bd/1 ba,"Starting from $2,082/month",$300,606,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,A07,1 bd/1 ba,"Starting from $2,362/month",$300,634+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,A09,1 bd/1 ba,"Starting from $2,020/month",$300,640,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,A10,1 bd/1 ba,"Starting from $2,412/month",$300,672+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,A12,1 bd/1 ba,"Starting from $2,606/month",$300,751+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,A14D,1 bd/1 ba,"Starting from $2,337/month",$300,777+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,A16D,1 bd/1 ba,"Starting from $2,815/month",$300,882,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,B03,2 bd/2 ba,"Starting from $3,444/month",$300,"1,039+",/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,B05,2 bd/2 ba,"Starting from $3,568/month",$300,"1,124+",/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230326,modera,S01L,Studio / 1 ba,"Starting from $2,542/month",$300,641+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
