Apt,Floor_plan,Beds/Baths,Rent,Deposit,Sq.Ft,Limited_Time_Offer,Available
modera,S01,Studio / 1 ba,"Starting from $1,812/month",$300,477+,/,Only One Left!
modera,S01L,Studio / 1 ba,"Starting from $2,715/month",$300,641+,/,"Available Apr 10, 2023"
modera,A03,1 bd/1 ba,"Starting from $2,071/month",$300,553+,/,Only One Left!
modera,A05,1 bd/1 ba,"Starting from $2,025/month",$300,596,/,"Available Apr 02, 2023"
modera,A05L,1 bd/1 ba,"Starting from $2,432/month",$300,735,/,"Available Apr 05, 2023"
modera,A06,1 bd/1 ba,"Starting from $2,174/month",$300,606,/,Only One Left!
modera,A07,1 bd/1 ba,"Starting from $2,462/month",$300,634+,/,"Available Mar 22, 2023"
modera,A09,1 bd/1 ba,"Starting from $2,195/month",$300,640,/,2 Available
modera,A10,1 bd/1 ba,"Starting from $2,383/month",$300,672+,/,2 Available
modera,A12,1 bd/1 ba,"Starting from $2,706/month",$300,751+,/,"Available Mar 18, 2023"
modera,A14D,1 bd/1 ba,"Starting from $2,421/month",$300,777+,/,Only One Left!
modera,A16D,1 bd/1 ba,"Starting from $2,882/month",$300,882,/,"Available Mar 22, 2023"
modera,B01,2 bd/2 ba,"Starting from $3,561/month",$300,961,/,Only One Left!
modera,B03,2 bd/2 ba,"Starting from $3,592/month",$300,"1,039+",/,Only One Left!
modera,B07D,2 bd/2 ba,"Starting from $3,645/month",$300,"1,233",/,Only One Left!
modera,S01L,Studio / 1 ba,"Starting from $2,715/month",$300,641+,/,"Available Apr 10, 2023"
modera,A05L,1 bd/1 ba,"Starting from $2,432/month",$300,735,/,"Available Apr 05, 2023"
